iter	Passed	Remaining
1122	38055	131381
1123	38087	131340
1124	38117	131294
1125	38149	131252
1126	38180	131210
1127	38212	131169
1128	38246	131136
1129	38278	131095
1130	38308	131046
1131	38336	130994
1132	38367	130949
1133	38397	130904
1134	38427	130856
1135	38465	130835
1136	38498	130799
1137	38528	130752
1138	38558	130707
1139	38591	130668
1140	38620	130618
1141	38653	130584
1142	38686	130545
1143	38720	130510
1144	38751	130470
1145	38781	130422
1146	38810	130372
1147	38842	130331
1148	38876	130297
1149	38911	130269
1150	38946	130240
1151	38982	130211
1152	39012	130164
1153	39050	130144
1154	39083	130109
1155	39116	130072
1156	39149	130036
1157	39182	129999
1158	39214	129958
1159	39250	129933
1160	39281	129890
1161	39314	129852
1162	39351	129829
1163	39384	129792
1164	39413	129744
1165	39446	129707
1166	39544	129882
1167	39596	129909
1168	39637	129897
1169	39681	129897
1170	39712	129854
1171	39742	129808
1172	39779	129783
1173	39813	129750
1174	39845	129709
1175	39876	129666
1176	39906	129618
1177	39936	129572
1178	39967	129531
1179	40000	129494
1180	40033	129456
1181	40066	129418
1182	40098	129378
1183	40129	129337
1184	40164	129305
1185	40198	129271
1186	40235	129247
1187	40270	129218
1188	40308	129196
1189	40337	129148
1190	40368	129103
1191	40397	129055
1192	40428	129010
1193	40463	128982
1194	40497	128948
1195	40531	128914
1196	40561	128867
1197	40592	128825
1198	40622	128780
1199	40652	128732
1200	40683	128688
1201	40718	128660
1202	40750	128619
1203	40781	128576
1204	40811	128532
1205	40841	128484
1206	40875	128451
1207	40909	128416
1208	40946	128393
1209	40978	128355
1210	41009	128311
1211	41038	128263
1212	41070	128222
1213	41107	128198
1214	41142	128168
1215	41183	128156
1216	41215	128117
1217	41245	128070
1218	41273	128018
1219	41303	127973
1220	41334	127929
1221	41367	127892
1222	41399	127852
1223	41430	127810
1224	41459	127763
1225	41491	127722
1226	41521	127678
1227	41550	127627
1228	41582	127590
1229	41618	127561
1230	41647	127514
1231	41678	127472
1232	41710	127433
1233	41743	127396
1234	41773	127350
1235	41809	127322
1236	41842	127286
1237	41873	127244
1238	41905	127205
1239	41935	127158
1240	41963	127107
1241	41994	127064
1242	42025	127022
1243	42060	126993
1244	42093	126955
1245	42126	126920
1246	42156	126873
1247	42186	126829
1248	42217	126788
1249	42250	126752
1250	42284	126718
1251	42317	126681
1252	42347	126635
1253	42375	126586
1254	42407	126545
1255	42437	126501
1256	42468	126458
1257	42505	126436
1258	42537	126397
1259	42567	126350
1260	42599	126312
1261	42631	126272
1262	42659	126223
1263	42689	126178
1264	42723	126142
1265	42767	126139
1266	42799	126101
1267	42831	126063
1268	42862	126020
1269	42895	125985
1270	42928	125947
1271	42964	125922
1272	42998	125889
1273	43030	125848
1274	43061	125808
1275	43094	125770
1276	43130	125744
1277	43169	125725
1278	43209	125708
1279	43241	125671
1280	43273	125632
1281	43306	125595
1282	43337	125553
1283	43369	125513
1284	43404	125485
1285	43434	125440
1286	43464	125395
1287	43496	125356
1288	43527	125315
1289	43560	125278
1290	43593	125242
1291	43627	125208
1292	43663	125183
1293	43698	125150
1294	43731	125114
1295	43767	125087
1296	43804	125063
1297	43838	125032
1298	43870	124990
1299	43902	124953
1300	43933	124910
1301	43961	124861
1302	43995	124826
1303	44029	124795
1304	44063	124761
1305	44095	124724
1306	44125	124679
1307	44155	124636
1308	44188	124597
1309	44222	124565
1310	44259	124540
1311	44293	124506
1312	44325	124469
1313	44353	124419
1314	44385	124381
1315	44416	124338
1316	44448	124301
1317	44480	124260
1318	44514	124227
1319	44546	124190
1320	44578	124152
1321	44610	124112
1322	44639	124067
1323	44669	124021
1324	44707	123998
1325	44737	123956
1326	44767	123910
1327	44798	123869
1328	44831	123834
1329	44864	123798
1330	44901	123775
1331	44939	123753
1332	44969	123708
1333	45000	123667
1334	45030	123622
1335	45061	123581
1336	45096	123552
1337	45127	123510
1338	45161	123477
1339	45193	123437
1340	45225	123400
1341	45260	123370
1342	45294	123338
1343	45325	123295
1344	45360	123266
1345	45394	123232
1346	45424	123190
1347	45456	123150
1348	45488	123111
1349	45518	123067
1350	45549	123027
1351	45581	122989
1352	45617	122960
1353	45648	122920
1354	45679	122880
1355	45710	122839
1356	45740	122795
1357	45771	122753
1358	45803	122716
1359	45841	122693
1360	45875	122661
1361	45907	122622
1362	45936	122577
1363	45967	122534
1364	46000	122499
1365	46021	122432
1366	46045	122372
1367	46065	122303
1368	46093	122255
1369	46124	122211
1370	46154	122169
1371	46183	122124
1372	46215	122086
1373	46247	122048
1374	46280	122012
1375	46311	121971
1376	46342	121930
1377	46373	121890
1378	46402	121843
1379	46432	121800
1380	46462	121758
1381	46495	121721
1382	46528	121688
1383	46560	121648
1384	46588	121601
1385	46619	121560
1386	46647	121512
1387	46678	121472
1388	46713	121442
1389	46746	121407
1390	46775	121361
1391	46809	121327
1392	46838	121282
1393	46870	121245
1394	46909	121224
1395	46944	121193
1396	46975	121155
1397	47006	121113
1398	47036	121070
1399	47068	121032
1400	47097	120987
1401	47129	120950
1402	47164	120919
1403	47199	120890
1404	47232	120855
1405	47263	120814
1406	47294	120774
1407	47328	120740
1408	47360	120704
1409	47396	120676
1410	47428	120637
1411	47458	120594
1412	47487	120551
1413	47519	120512
1414	47548	120467
1415	47579	120427
1416	47614	120397
1417	47648	120363
1418	47678	120321
1419	47708	120280
1420	47738	120237
1421	47767	120190
1422	47797	120148
1423	47834	120122
1424	47865	120083
1425	47894	120037
1426	47926	120001
1427	47956	119958
1428	47986	119915
1429	48019	119881
1430	48056	119856
1431	48093	119831
1432	48126	119796
1433	48156	119753
1434	48187	119712
1435	48220	119677
1436	48254	119644
1437	48287	119609
1438	48320	119574
1439	48345	119519
1440	48365	119454
1441	48387	119392
1442	48409	119328
1443	48438	119284
1444	48473	119255
1445	48504	119214
1446	48536	119177
1447	48566	119135
1448	48595	119089
1449	48626	119051
1450	48656	119009
1451	48693	118983
1452	48728	118954
1453	48757	118910
1454	48787	118866
1455	48819	118828
1456	48848	118784
1457	48891	118775
1458	48927	118748
1459	48958	118707
1460	48989	118666
1461	49020	118627
1462	49049	118582
1463	49079	118541
1464	49112	118508
1465	49146	118475
1466	49180	118442
1467	49211	118403
1468	49244	118368
1469	49274	118326
1470	49306	118289
1471	49342	118262
1472	49379	118234
1473	49420	118219
1474	49450	118177
1475	49479	118134
1476	49514	118104
1477	49544	118061
1478	49575	118022
1479	49607	117986
1480	49643	117957
1481	49672	117914
1482	49705	117877
1483	49735	117838
1484	49768	117801
1485	49799	117763
1486	49831	117726
1487	49861	117684
1488	49892	117645
1489	49925	117610
1490	49955	117567
1491	49987	117532
1492	50028	117515
1493	50061	117479
1494	50092	117442
1495	50131	117420
1496	50163	117384
1497	50198	117352
1498	50234	117324
1499	50266	117289
1500	50299	117252
1501	50331	117216
1502	50361	117175
1503	50390	117131
1504	50426	117102
1505	50457	117064
1506	50494	117038
1507	50525	116999
1508	50557	116961
1509	50588	116923
1510	50621	116888
1511	50654	116852
1512	50690	116826
1513	50724	116794
1514	50756	116756
1515	50787	116716
1516	50819	116679
1517	50849	116638
1518	50884	116609
1519	50926	116595
1520	50957	116556
1521	50990	116520
1522	51022	116484
1523	51052	116443
1524	51083	116402
1525	51114	116364
1526	51147	116330
1527	51179	116293
1528	51208	116249
1529	51242	116215
1530	51271	116172
1531	51301	116132
1532	51337	116103
1533	51370	116069
1534	51401	116030
1535	51434	115995
1536	51467	115960
1537	51508	115943
1538	51540	115906
1539	51575	115876
1540	51608	115843
1541	51640	115806
1542	51670	115765
1543	51701	115725
1544	51736	115696
1545	51771	115666
1546	51805	115632
1547	51837	115596
1548	51868	115556
1549	51898	115516
1550	51931	115482
1551	51962	115442
1552	51994	115404
1553	52028	115374
1554	52060	115336
1555	52089	115293
1556	52121	115255
1557	52151	115215
1558	52182	115175
1559	52215	115142
1560	52252	115116
1561	52285	115081
1562	52316	115043
1563	52348	115005
1564	52378	114965
1565	52408	114923
1566	52441	114888
1567	52479	114865
1568	52510	114827
1569	52543	114792
1570	52574	114753
1571	52604	114712
1572	52637	114678
1573	52671	114646
1574	52704	114610
1575	52737	114576
1576	52769	114539
1577	52799	114499
1578	52835	114471
1579	52868	114436
1580	52903	114407
1581	52947	114396
1582	52981	114363
1583	53012	114324
1584	53044	114288
1585	53075	114249
1586	53105	114208
1587	53138	114174
1588	53170	114137
1589	53202	114100
1590	53237	114071
1591	53268	114031
1592	53298	113992
1593	53334	113962
1594	53368	113930
1595	53399	113892
1596	53432	113856
1597	53482	113859
1598	53516	113826
1599	53552	113799
1600	53591	113776
1601	53622	113738
1602	53655	113703
1603	53687	113668
1604	53717	113626
1605	53747	113586
1606	53781	113553
1607	53818	113527
1608	53850	113491
1609	53881	113452
1610	53910	113409
1611	53943	113374
1612	53972	113332
1613	54006	113300
1614	54041	113269
1615	54073	113233
1616	54105	113196
1617	54136	113158
1618	54166	113118
1619	54196	113077
1620	54227	113038
1621	54260	113003
